일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec)
42337.79167,,1.4,1,0.7,8.2
42337.83333,,1.4,1,0.7,8.2
42337.875,,1.4,1,0.6,8.2
42337.91667,,1.2,0.9,0.6,8
42337.95833,,1.6,1,0.6,8.2
42338,,1.1,0.9,0.6,8.1
42338.04167,,1.3,0.9,0.6,8.3
42338.08333,,1.1,0.8,0.5,7.9
42338.125,,1,0.8,0.5,8
42338.16667,,0.9,0.7,0.4,7.6
42338.20833,,0.9,0.7,0.5,8
42338.25,,0.9,0.7,0.4,7.4
42338.29167,,0.9,0.6,0.4,7.7
42338.33333,,0.8,0.6,0.4,7.4
42338.375,,0.8,0.6,0.3,7.6
42338.41667,,0.7,0.5,0.3,7.7
42338.45833,,0.7,0.5,0.3,7.1
42338.5,,0.6,0.4,0.3,6.8
42338.54167,,0.7,0.5,0.3,6.5
42338.58333,,0.5,0.4,0.2,6.6
42338.625,,0.5,0.4,0.2,7.1
42338.66667,,0.6,0.4,0.3,7.3
42338.70833,,0.5,0.4,0.2,7.6
42338.75,,0.6,0.4,0.2,7.6
42338.79167,,0.6,0.4,0.2,7.5
42338.83333,,0.5,0.4,0.2,6.9
42338.875,,0.5,0.4,0.3,6.6
42338.91667,,0.6,0.5,0.3,6.1
42338.95833,,0.7,0.6,0.4,5.3
42339,24.7,0.8,0.6,0.4,5.1
42339.04167,,0.7,0.5,0.3,5.1
42339.08333,,0.6,0.6,0.4,5.6
42339.125,,0.8,0.6,0.4,6
42339.16667,,0.7,0.5,0.3,5.7
42339.20833,,0.7,0.5,0.3,5.5
42339.25,,0.8,0.6,0.3,5.6
42339.29167,,0.8,0.6,0.4,6.1
42339.33333,,1,0.8,0.5,6.9
42339.375,,1,0.9,0.6,7.2
42339.43403,12.6,0,0,0,0
42339.45833,16.8,1.3,1,0.6,7.2
42339.5,18.1,1.5,1,0.6,7.3
42339.54167,17.9,1.3,0.9,0.6,6.6
42339.58333,18,1.4,1,0.6,6.7
42339.625,18,1.3,0.9,0.6,7
42339.66667,18.1,1.1,0.9,0.5,6.4
42339.70833,18.7,1.3,0.9,0.6,6.9
42339.75,19,1.2,0.9,0.5,6.7
42339.79167,19.1,1.4,0.9,0.5,6.4
42339.83333,19,1.2,0.9,0.5,6.1
42339.875,19,1.1,0.8,0.5,5.9
42339.91667,19.2,1.2,0.8,0.5,5.6
42339.95833,19.3,1.2,0.9,0.6,5.8
42340,19.3,1.3,0.8,0.5,4.9
42340.04167,19.4,1.1,0.8,0.6,5
42340.08333,18.9,1.2,0.9,0.6,5.4
42340.125,18.8,1,0.7,0.5,5.3
42340.16667,18.7,1,0.7,0.4,5.1
42340.20833,18.6,0.9,0.7,0.5,5.1
42340.25,18.6,0.9,0.7,0.4,5.1
42340.29167,18.6,1.2,0.8,0.5,5.4
42340.33333,18.5,1.1,0.8,0.5,5.4
42340.375,18.5,1.1,0.8,0.5,5.3
42340.41667,18.6,1.2,0.8,0.5,5.4
42340.45833,18.8,1.2,0.9,0.6,4.7
42340.5,18.9,1.3,0.9,0.6,4.5
42340.54167,18.9,1.2,0.9,0.6,4.3
42340.58333,18.9,1.3,0.9,0.6,4.5
42340.625,18.9,1.4,1,0.6,4.7
42340.66667,18.9,1.4,1,0.7,4.7
42340.70833,18.9,1.6,1.2,0.8,5.1
42340.75,18.9,1.8,1.3,0.9,5.4
42340.79167,18.9,1.6,1.2,0.8,5.6
42340.83333,18.9,1.6,1.2,0.8,5.8
42340.875,19,1.3,0.9,0.6,5.6
42340.91667,19.1,1,0.8,0.5,5.7
42340.95833,18.9,0.9,0.6,0.4,5.6
42341,18.8,0.6,0.5,0.3,5.7
42341.04167,18.7,0.7,0.5,0.3,6.4
42341.08333,18.5,0.7,0.6,0.3,5.8
42341.125,18.4,0.8,0.6,0.4,6.3
42341.16667,18.5,0.9,0.7,0.4,6.5
42341.20833,18.2,0.7,0.6,0.4,6.1
42341.25,17.9,0.6,0.5,0.3,6
42341.29167,17.4,0.6,0.4,0.3,5.6
42341.33333,17.6,0.6,0.4,0.3,5.4
42341.375,17.5,0.7,0.4,0.3,4.9
42341.41667,17.5,0.6,0.5,0.3,3.6
42341.45833,17.5,0.7,0.5,0.3,4
42341.5,17.5,0.7,0.5,0.3,3.9
42341.54167,17.5,1,0.7,0.4,3.7
42341.58333,17.6,1,0.7,0.5,4.1
42341.625,17.7,0.9,0.7,0.4,4.5
42341.66667,17.8,1,0.7,0.4,4.7
42341.70833,18,1,0.7,0.5,4.9
42341.75,18.1,1,0.8,0.5,5
42341.79167,18.1,0.9,0.6,0.4,4.8
42341.83333,18.1,0.9,0.6,0.4,5.2
42341.875,18.1,1,0.6,0.4,5.2
42341.91667,18.1,0.7,0.6,0.4,5
42341.95833,18.2,0.7,0.5,0.3,4.9
42342,18.1,0.8,0.6,0.4,5
42342.04167,18,0.9,0.6,0.4,4.2
42342.08333,18,0.7,0.5,0.3,4.2
42342.125,18,0.8,0.6,0.4,4.1
42342.16667,17.5,0.8,0.6,0.4,4
42342.20833,17.2,1,0.6,0.4,4
42342.25,17.4,1.3,0.8,0.5,4.8
42342.29167,17.4,1,0.8,0.5,6.1
42342.33333,17.1,1.3,0.8,0.5,6.2
42342.375,17.2,1.3,0.9,0.6,5.1
42342.41667,17.4,1,0.7,0.4,6.8
42342.45833,17.2,1.2,0.9,0.6,5
42342.5,17.1,1.1,0.7,0.4,5.9
42342.54167,17.1,1,0.8,0.5,6.8
42342.58333,17.5,1,0.7,0.5,6.9
42342.625,17.3,0.9,0.7,0.4,6.5
42342.66667,17.3,1,0.7,0.5,6.3
42342.70833,17.4,1,0.7,0.4,6.4
42342.75,17.7,1.1,0.8,0.5,6.3
42342.79167,17.4,1,0.7,0.4,6.5
42342.83333,17.3,0.9,0.7,0.4,6.3
42342.875,17.8,1,0.7,0.4,6.2
42342.91667,17.2,0.9,0.7,0.4,6.7
42342.95833,17.2,0.8,0.6,0.4,6.5
42343,17.7,0.9,0.7,0.4,6.9
42343.04167,17.6,0.7,0.6,0.4,6.7
42343.08333,17.7,0.8,0.6,0.4,7.1
42343.125,17.7,0.8,0.6,0.4,7
42343.16667,17.7,0.9,0.6,0.4,6.8
42343.20833,17.7,1,0.6,0.4,6.2
42343.25,17.7,0.9,0.6,0.4,6.6
42343.29167,17.6,0.9,0.7,0.4,6.6
42343.33333,17.6,0.9,0.6,0.4,6.1
42343.375,17.6,0.9,0.7,0.4,6.1
42343.41667,17.7,1,0.7,0.4,5.9
42343.45833,17.7,1,0.7,0.4,6.2
42343.5,17.8,0.8,0.6,0.4,5.9
42343.54167,17.9,0.9,0.6,0.4,5.9
42343.58333,17.9,0.7,0.6,0.4,6.2
42343.625,17.9,0.8,0.6,0.4,5.7
42343.66667,18,0.7,0.5,0.3,6.1
42343.70833,18,0.8,0.5,0.3,5.8
42343.75,18,0.7,0.5,0.3,6.4
42343.79167,17.9,0.8,0.6,0.4,6.8
42343.83333,17.9,0.7,0.6,0.3,6.5
42343.875,17.8,0.9,0.7,0.4,6.8
42343.91667,17.8,0.9,0.7,0.4,6.4
42343.95833,17.7,0.9,0.8,0.5,6.6
42344,17.8,1.1,0.8,0.5,6.7
42344.04167,17.8,0.9,0.8,0.5,6.7
42344.08333,17.9,1.2,0.8,0.5,6.9
42344.125,17.9,1,0.8,0.5,6.9
42344.16667,18,1.1,0.7,0.5,6.6
42344.20833,18.1,1,0.7,0.5,6.4
42344.25,18.1,0.8,0.7,0.4,6.3
42344.29167,18.1,1,0.7,0.4,6.7
42344.33333,18,1.1,0.7,0.4,6.2
42344.375,17.9,0.9,0.7,0.4,6.3
42344.41667,17.9,0.9,0.6,0.4,6.4
42344.45833,17.9,0.8,0.6,0.4,6.4
42344.5,18,1.1,0.7,0.4,6.5
42344.54167,18,0.9,0.7,0.4,7.2
42344.58333,18,1.1,0.8,0.5,7.2
42344.625,18.1,1.2,0.9,0.5,7.5
42344.66667,18.1,1.1,0.9,0.6,7.5
42344.70833,18.1,1.2,0.9,0.5,7.3
42344.75,18.1,1.2,0.9,0.5,7.2
42344.79167,18,1,0.8,0.5,7
42344.83333,18.1,1.1,0.8,0.5,7.2
42344.875,18,1.1,0.9,0.5,7.6
42344.91667,18.1,1.2,0.8,0.5,7.2
42344.95833,18.1,1.1,0.9,0.5,7.3
42345,18,1.1,0.9,0.6,7.3
42345.04167,18,1,0.9,0.6,7.1
42345.08333,18,1.1,0.9,0.6,6.8
42345.125,17.9,1.1,0.9,0.6,6.2
42345.16667,17.9,1.3,0.9,0.6,6
42345.20833,17.8,1.3,0.9,0.6,5.9
42345.25,17.8,1.2,0.9,0.6,5.8
42345.29167,17.7,1.7,1.2,0.8,5.1
42345.33333,17.6,1.7,1.4,0.8,6.7
42345.375,17.5,1.5,1.1,0.7,5.7
42345.41667,17.4,1.4,1,0.6,5.7
42345.45833,17.3,1.1,0.8,0.5,5
42345.5,17.1,1,0.7,0.5,5
42345.54167,,,,,
